Puzzle 1
veryEasy
0,0,7,0,0,5,0,0,1
2,0,0,0,0,1,0,9,8
0,8,4,0,0,0,3,0,0
0,9,0,0,6,0,5,1,3
0,5,0,0,0,4,9,0,0
0,0,0,0,2,0,0,7,0
0,0,9,6,0,0,0,0,2
8,2,0,0,7,3,4,0,0
3,0,0,0,0,0,0,0,0

9,6,7,3,8,5,2,4,1
2,3,5,7,4,1,6,9,8
1,8,4,2,9,6,3,5,7
4,9,2,8,6,7,5,1,3
7,5,8,1,3,4,9,2,6
6,1,3,5,2,9,8,7,4
5,4,9,6,1,8,7,3,2
8,2,1,9,7,3,4,6,5
3,7,6,4,5,2,1,8,9
*****
Puzzle 2
easy
0,0,0,2,0,0,4,0,0
1,3,0,4,0,0,2,0,0
0,0,0,0,1,0,0,5,0
0,0,1,0,3,4,0,0,7
3,0,5,0,0,0,0,1,0
7,0,0,6,8,0,3,2,5
8,0,0,0,0,6,0,0,0
4,0,0,7,2,0,1,0,3
0,0,0,3,0,0,6,7,0

5,9,8,2,6,7,4,3,1
1,3,7,4,5,9,2,8,6
6,2,4,8,1,3,7,5,9
2,8,1,5,3,4,9,6,7
3,6,5,9,7,2,8,1,4
7,4,9,6,8,1,3,2,5
8,7,3,1,9,6,5,4,2
4,5,6,7,2,8,1,9,3
9,1,2,3,4,5,6,7,8
